,MONITORING PEKERJAAN LISDES APBN 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No.,Tahap,Nomor di Kepdirjen,Lokasi,,,,,,Gabungan Nama,UP3,ULP,PLTD / PLTMG,Penyulang,Vendor,Nilai Kontrak,,,,,,,Nilai Realisasi,,,,,,,Rencana Volume Pekerjaan,,,,,,Realisasi Volume Pekerjaan,,,,,,Capel,No. KR / SPBJ,Tgl Awal Kontrak,Tgl Akhir Kontrak,Target Selesai,Addendum I,,,,,Addendum II,,,,,Addendum III,,,,,BASTP,,,BAPP,,,BAP,,,Checklist Penagihan,,,,,,,,
,,,,Provinsi,Kode Desa,Kabupaten,Kecamatan,Desa,Dusun,,,,,,Vendor,TOTAL,MDU,JASA (sebelum PPN),DPP,PPN 12%,JASA (+PPN),SLO,TOTAL,MDU,Jasa sebelum Pajak,DPP,PPN 12%,JASA (+PPN),SLO,JTM,JTR,GD,,"Tiang 
12 mtr","Tiang 
9 mtr",JTM,JTR,GD,,"Tiang 
12 mtr","Tiang 
9 mtr",,,,,,Judul,Nomor,Tanggal,Nilai Add,Status,Judul,Nomor,Tanggal,Nilai Add,Status,Judul,Nomor,Tanggal,Nilai Add,Status,Nomor,Tanggal,Status,Nomor,Tanggal,Status,Nomor,Tanggal,Status,TUG 3,TUG 4,BOQ,As Built Drawing,BA BBSP,SLO,BA Progres,Dokumentasi,TKDN
,,,,,,,,,,,,,,,,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,kms,kms,kVA,Unit,btg,btg,kms,kms,kVA,Unit,btg,btg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,2,,Maluku,81.01.24.2009,Maluku Tengah,Seram Utara Timur Seti,Aketernate,Rumah 10,"Dusun Rumah 10, Desa Aketernate. Kec. Seram Utara Timur Seti, Kab. Maluku Tengah",Masohi,Kobisonta, Kobisonta ,,PT SINAR GLORI DATIER, Rp 1.148.354.972 ,, Rp 1.034.554.029 , Rp 948.341.193 , Rp 113.800.943 , Rp 1.148.354.972 ,, Rp - ,,, Rp - , Rp - , Rp - ,,"3,80","0,46",50,1,77,0,,,,,,,15,0005.SPBJ/DIS.01.01/F17070000/2026,27 Juli 2026,31 Desember 2026,28 Februari 2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,2,,Maluku,81.05.03.2001,Seram Bagian Timur,Werinama,Batuasa,Waikudal,"Dusun Waikudal, Desa Batuasa. Kec. Werinama, Kab. Seram Bagian Timur",Masohi,Masohi, Werinama,,PT SAMUDRA JAYA RURIKA MANDIRI, Rp 1.762.962.647 ,, Rp 1.588.254.637 , Rp 1.455.900.084 , Rp 174.708.010 , Rp 1.762.962.647 ,, Rp - ,,, Rp - , Rp - , Rp - ,,"4,81","1,91",50,2,97,5,,,,,,,30,0006.SPBJ/DIS.01.01/F17070000/2026,28 Juli 2026,31 Desember 2026,28 Februari 2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,3,,Maluku,81.04.12.2003,Buru,Waelata,Parbulu,Parbulu Luar,"Dusun Parbulu Luar, Desa Parbulu. Kec. Waelata, Kab. Buru",Ambon,Mako,,,PT SAMSEL JAYA MANDIRI, Rp 268.257.203 ,, Rp 241.673.156 , Rp 221.533.726 , Rp 26.584.047 , Rp 268.257.203 ,, Rp - ,,, Rp - , Rp - , Rp - ,,,"0,21",100,1,5,,,,,,,,12,0021.SPBJ/DIS.01.02/F17070000/2026,28 Agustus 2026,31 Desember 2026,30 November 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,3,,Maluku,81.72.01.2004,Kota Tual,Pulau Dullah Utara,Labetawi,Difur,"Dusun Difur, Desa Labetawi. Kec. Pulau Dullah Utara, Kab. Kota Tual",Tual,Tual, Tual,,PT SAPTA MANUNGGAL KARYA JO PT BASUDARA SUKSES BERSAMA, Rp 833.755.984 ,, Rp 751.131.517 , Rp 688.537.224 , Rp 82.624.467 , Rp 833.755.984 ,, Rp - ,,, Rp - , Rp - , Rp - ,,"2,21","0,77",50,1,46,11,,,,,,,10,0008.SPBJ/DIS.01.01/F17070000/2026,19 Agustus 2026,31 Desember 2026,31 Desember 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,3,,Maluku,81.08.16.2002,Maluku Barat Daya,Kepulauan Roma,Jerusu,Rumkuda,"Dusun Rumkuda, Desa Jerusu. Kec. Kepulauan Roma, Kab. Maluku Barat Daya",Saumlaki,Moa,,,PT CAHAYA GENTA ABADI JO PT MEGATAMA SELARAS, Rp 190.544.356 ,, Rp 171.661.582 , Rp 157.356.450 , Rp 18.882.774 , Rp 190.544.356 ,, Rp - ,,, Rp - , Rp - , Rp - ,,,"0,45",,,,6,,,,,,,10,0015.SPBJ/DIS.01.02/F17070000/2026,28 Agustus 2026,31 Desember 2026,31 Desember 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,3,,Maluku,81.08.12.2003,Maluku Barat Daya,Pulau Lakor,Sera,Werwawan,"Dusun Werwawan, Desa Sera. Kec. Pulau Lakor, Kab. Maluku Barat Daya",Saumlaki,Moa,,,PT CAHAYA GENTA ABADI JO PT MEGATAMA SELARAS, Rp 214.382.847 ,, Rp 193.137.700 , Rp 177.042.892 , Rp 21.245.147 , Rp 214.382.847 ,, Rp - ,,, Rp - , Rp - , Rp - ,,,"0,45",,,,11,,,,,,,10,0016.SPBJ/DIS.01.02/F17070000/2026,28 Agustus 2026,31 Desember 2026,31 Desember 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,3,,Maluku,81.01.01.2005,Maluku Tengah,Amahai,Amahai,Tanah Merah,"Dusun Tanah Merah, Desa Amahai. Kec. Amahai, Kab. Maluku Tengah",Masohi,Masohi,,,PT SAPTA MANUNGGAL KARYA JO PT BASUDARA SUKSES BERSAMA, Rp 160.016.059 ,, Rp 144.158.612 , Rp 132.145.394 , Rp 15.857.447 , Rp 160.016.059 ,, Rp - ,,, Rp - , Rp - , Rp - ,,,"0,90",,,,22,,,,,,,10,0018.SPBJ/DIS.01.02/F17070000/2026,28 Agustus 2026,31 Desember 2026,30 November 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,3,,Maluku,81.01.01.2006,Maluku Tengah,Amahai,Haruru,Kampung Bugis,"Dusun Kampung Bugis, Desa Haruru. Kec. Amahai, Kab. Maluku Tengah",Masohi,Masohi,,,PT SAPTA MANUNGGAL KARYA JO PT BASUDARA SUKSES BERSAMA, Rp 193.691.377 ,, Rp 174.496.736 , Rp 159.955.341 , Rp 19.194.641 , Rp 193.691.377 ,, Rp - ,,, Rp - , Rp - , Rp - ,,,"1,23",,,,23,,,,,,,10,0017.SPBJ/DIS.01.02/F17070000/2026,28 Agustus 2026,31 Desember 2026,30 November 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,3,,Maluku,81.01.24.2009,Maluku Tengah,Seram Utara Timur Seti,Aketernate,Aketernate,"Dusun Aketernate, Desa Aketernate. Kec. Seram Utara Timur Seti, Kab. Maluku Tengah",Masohi,Kobisonta,,,PT SINAR GLORI DATIER, Rp 117.441.454 ,, Rp 105.803.112 , Rp 96.986.186 , Rp 11.638.342 , Rp 117.441.454 ,, Rp - ,,, Rp - , Rp - , Rp - ,,,"0,51",50,1,,,,,,,,,10,0024.SPBJ/DIS.01.02/F17070000/2026,28 Agustus 2026,31 Desember 2026,31 Desember 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,3,,Maluku,81.01.24.2001,Maluku Tengah,Seram Utara Timur Seti,Seti,SPD,"Dusun SPD, Desa Seti. Kec. Seram Utara Timur Seti, Kab. Maluku Tengah",Masohi,Kobisonta,,,PT SINAR GLORI DATIER, Rp 128.113.114 ,, Rp 115.417.220 , Rp 105.799.118 , Rp 12.695.894 , Rp 128.113.114 ,, Rp - ,,, Rp - , Rp - , Rp - ,,,"1,54",,,,9,,,,,,,10,0027.SPBJ/DIS.01.02/F17070000/2026,28 Agustus 2026,31 Desember 2026,31 Desember 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,3,,Maluku,81.01.24.2001,Maluku Tengah,Seram Utara Timur Seti,Seti,Trans Baru,"Dusun Trans Baru, Desa Seti. Kec. Seram Utara Timur Seti, Kab. Maluku Tengah",Masohi,Kobisonta,,,PT SINAR GLORI DATIER, Rp 130.748.239 ,, Rp 117.791.206 , Rp 107.975.272 , Rp 12.957.033 , Rp 130.748.239 ,, Rp - ,,, Rp - , Rp - , Rp - ,,,"1,03",50,1,,,,,,,,,10,0026.SPBJ/DIS.01.02/F17070000/2026,28 Agustus 2026,31 Desember 2026,31 Desember 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
